Time	Error Type	Message	Stack Trace
03:24:17.565	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:24:17.578	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:24:17.598	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
03:29:34.914	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:29:34.925	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:29:34.931	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
03:32:00.375	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:32:00.386	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:32:00.391	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
03:33:08.460	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:33:08.471	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:33:08.477	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
03:33:16.505	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:33:16.508	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:33:16.512	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
03:33:23.106	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:33:23.117	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:33:23.130	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
03:33:57.728	Log	yo!	UnityEngine.Debug:Log(Object) NG.Debug:Log(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:467) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:13) 
03:33:57.740	Error	error test	UnityEngine.Debug:LogError(Object) NG.Debug:LogError(Object) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:499) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:14) 
03:33:57.747	Assert	Assertion failed. Values are not equal.  Expected: 2 == 1	UnityEngine.Assertions.Assert:AreEqual(Int32, Int32) NG.Assert:AreEqual(Int32, Int32, MonoBehaviour) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:176) NG.Assert:AreEqual(Int32, Int32) (at Assets/_Scripts/NGTools/Debug/NGAssertDebug.cs:189) TestLogMessageReceivedCallback:Update() (at Assets/_Scripts/NGTools/Debug/Example/TestLogMessageReceivedCallback.cs:16) 
